source,destination,reporter,responseCode,timestamp,value
frontend,adservice,destination,200,1732913908,8965
frontend,adservice,destination,200,1732913948,9053
frontend,adservice,destination,200,1732913988,9053
frontend,adservice,destination,200,1732914028,9143
frontend,adservice,destination,200,1732914068,9239
frontend,adservice,destination,200,1732914108,9239
frontend,adservice,destination,200,1732914148,9318
frontend,adservice,destination,200,1732914188,9401
frontend,adservice,destination,200,1732914228,9401
frontend,adservice,destination,200,1732914268,9492
frontend,adservice,destination,200,1732914308,9585
frontend,adservice,destination,200,1732914348,9585
frontend,adservice,destination,200,1732914388,9681
frontend,adservice,destination,200,1732914428,9781
frontend,adservice,destination,200,1732914468,9781
frontend,adservice,destination,200,1732914508,9873
frontend,adservice,destination,200,1732914548,11627
frontend,adservice,destination,200,1732914588,11627
frontend,adservice,destination,200,1732914628,12907
frontend,adservice,destination,200,1732914668,14821
frontend,adservice,destination,200,1732914708,14821
frontend,adservice,destination,200,1732914748,16358
frontend,adservice,destination,200,1732914788,17968
frontend,adservice,destination,200,1732914828,17968
frontend,adservice,destination,200,1732914868,19220
frontend,adservice,destination,200,1732914908,20273
frontend,adservice,destination,200,1732914948,20273
frontend,adservice,destination,200,1732914988,21678
frontend,adservice,destination,200,1732915028,23389
frontend,adservice,destination,200,1732915068,23389
frontend,adservice,destination,200,1732915108,25203
frontend,adservice,destination,200,1732915148,27245
frontend,adservice,destination,200,1732915188,27245
frontend,adservice,destination,200,1732915228,29237
frontend,adservice,destination,200,1732915268,31165
frontend,adservice,destination,200,1732915308,31165
frontend,adservice,destination,200,1732915348,33209
frontend,adservice,destination,200,1732915388,35182
frontend,adservice,destination,200,1732915428,35182
frontend,adservice,destination,200,1732915468,37124
frontend,adservice,destination,200,1732915508,39061
frontend,adservice,destination,200,1732915548,39061
frontend,adservice,destination,200,1732915588,40753
frontend,adservice,destination,200,1732915628,42862
frontend,adservice,destination,200,1732915668,42862
frontend,adservice,destination,200,1732915708,43288
frontend,adservice,destination,200,1732915748,44466
frontend,adservice,destination,200,1732915788,44466
frontend,adservice,destination,200,1732915828,45164
frontend,adservice,destination,200,1732915868,45258
frontend,adservice,destination,200,1732915908,45258
frontend,adservice,destination,200,1732915948,45349
frontend,adservice,destination,200,1732915988,45441
frontend,adservice,destination,200,1732916028,45441
frontend,adservice,destination,200,1732916068,45537
frontend,adservice,destination,200,1732916108,45623
frontend,adservice,destination,200,1732916148,45623
frontend,adservice,destination,200,1732916188,45715
frontend,adservice,destination,200,1732916228,45805
frontend,adservice,destination,200,1732916268,45805
frontend,adservice,destination,200,1732916308,45889
frontend,adservice,destination,200,1732916348,47498
frontend,adservice,destination,200,1732916388,47498
frontend,adservice,destination,200,1732916428,48897
frontend,adservice,destination,200,1732916468,49331
frontend,adservice,destination,200,1732916508,49331
frontend,adservice,destination,200,1732916548,51344
frontend,adservice,destination,200,1732916588,51698
frontend,adservice,destination,200,1732916628,51698
frontend,adservice,destination,200,1732916668,53519
frontend,adservice,destination,200,1732916708,53519
frontend,adservice,destination,200,1732916748,53519
frontend,adservice,destination,200,1732916788,54314
frontend,adservice,destination,200,1732916828,54314
frontend,adservice,destination,200,1732916868,54314
frontend,adservice,destination,200,1732916908,55887
frontend,adservice,destination,200,1732916948,57003
frontend,adservice,destination,200,1732916988,57003
frontend,adservice,destination,200,1732917028,57003
frontend,adservice,destination,200,1732917068,57003
frontend,adservice,destination,200,1732917108,57003
frontend,adservice,destination,200,1732917148,57013
frontend,adservice,destination,200,1732917188,57088
frontend,adservice,destination,200,1732917228,57088
frontend,adservice,destination,200,1732917268,57175
frontend,adservice,destination,200,1732917308,57269
frontend,adservice,destination,200,1732917348,57269
frontend,adservice,destination,200,1732917388,57353
frontend,adservice,destination,200,1732917428,57437
frontend,adservice,destination,200,1732917468,57437
frontend,adservice,destination,200,1732917508,58334
frontend,adservice,destination,200,1732917548,59242
frontend,adservice,destination,200,1732917588,59242
frontend,adservice,destination,200,1732917628,61020
frontend,adservice,destination,200,1732917668,62550
frontend,adservice,destination,200,1732917708,62550
frontend,adservice,destination,200,1732917748,63946
frontend,adservice,destination,200,1732917788,65136
frontend,adservice,destination,200,1732917828,65136
frontend,adservice,destination,200,1732917868,67002
frontend,adservice,destination,200,1732917908,68628
frontend,adservice,destination,200,1732917948,68628
frontend,adservice,destination,200,1732917988,70315
frontend,adservice,destination,200,1732918028,72091
frontend,adservice,destination,200,1732918068,72091
frontend,adservice,destination,200,1732918108,73788
frontend,adservice,destination,200,1732918148,75352
frontend,adservice,destination,200,1732918188,75352
frontend,adservice,destination,200,1732918228,75577
frontend,adservice,destination,200,1732918268,75671
frontend,adservice,destination,200,1732918308,75671
frontend,adservice,destination,200,1732918348,75916
frontend,adservice,destination,200,1732918388,77333
frontend,adservice,destination,200,1732918428,77333
frontend,adservice,destination,200,1732918468,78603
frontend,adservice,destination,200,1732918508,80619
frontend,adservice,destination,200,1732918548,80619
frontend,adservice,destination,200,1732918588,82314
frontend,adservice,destination,200,1732918628,83871
frontend,adservice,destination,200,1732918668,83871
frontend,adservice,destination,200,1732918708,85539
frontend,adservice,destination,200,1732918748,87194
frontend,adservice,destination,200,1732918788,87194
frontend,adservice,destination,200,1732918828,88831
frontend,adservice,destination,200,1732918868,90318
frontend,adservice,destination,200,1732918908,90318
frontend,adservice,destination,200,1732918948,92287
frontend,adservice,destination,200,1732918988,93849
frontend,adservice,destination,200,1732919028,93849
frontend,adservice,destination,200,1732919068,94268
frontend,adservice,destination,200,1732919108,94350
frontend,adservice,destination,200,1732919148,94350
frontend,adservice,destination,200,1732919188,94446
frontend,adservice,destination,200,1732919228,94544
frontend,adservice,destination,200,1732919268,94544
frontend,adservice,destination,200,1732919308,94633
frontend,adservice,destination,200,1732919348,95587
frontend,adservice,destination,200,1732919388,95587
frontend,adservice,destination,200,1732919428,96976
frontend,adservice,destination,200,1732919468,98810
frontend,adservice,destination,200,1732919508,98810
frontend,adservice,destination,200,1732919548,100384
frontend,adservice,destination,200,1732919588,101819
frontend,adservice,destination,200,1732919628,101819
frontend,adservice,destination,200,1732919668,103295
frontend,adservice,destination,200,1732919708,104918
frontend,adservice,destination,200,1732919748,104918
frontend,adservice,destination,200,1732919788,106459
frontend,adservice,destination,200,1732919828,107851
frontend,adservice,destination,200,1732919868,107851
frontend,adservice,destination,200,1732919908,109302
frontend,adservice,destination,200,1732919948,110556
frontend,adservice,destination,200,1732919988,110556
frontend,adservice,destination,200,1732920028,112207
frontend,adservice,destination,200,1732920068,113966
frontend,adservice,destination,200,1732920108,113966
frontend,adservice,destination,200,1732920148,115229
frontend,adservice,destination,200,1732920188,116350
frontend,adservice,destination,200,1732920228,116350
frontend,adservice,destination,200,1732920268,118086
frontend,adservice,destination,200,1732920308,119477
frontend,adservice,destination,200,1732920348,119477
frontend,adservice,destination,200,1732920388,121051
frontend,adservice,destination,200,1732920428,122694
frontend,adservice,destination,200,1732920468,122694
frontend,adservice,destination,200,1732920508,123143
frontend,adservice,destination,200,1732920548,123222
frontend,adservice,destination,200,1732920588,123222
frontend,adservice,destination,200,1732920628,123222
frontend,adservice,destination,200,1732920668,123222
frontend,adservice,destination,200,1732920708,123222
frontend,adservice,destination,200,1732920748,123222
frontend,adservice,destination,200,1732920788,124566
frontend,adservice,destination,200,1732920828,124566
frontend,adservice,destination,200,1732920868,125651
frontend,adservice,destination,200,1732920908,125729
frontend,adservice,destination,200,1732920948,125729
