pod,timestamp,value
frontend,1732914548,68616192
frontend,1732914588,68616192
frontend,1732914628,74465280
frontend,1732914668,75001856
frontend,1732914708,75001856
frontend,1732914748,75292672
frontend,1732914788,75157504
frontend,1732914828,75157504
frontend,1732914868,75993088
frontend,1732914908,75993088
frontend,1732914948,78168064
frontend,1732914988,78262272
frontend,1732915028,78471168
frontend,1732915068,78471168
frontend,1732915108,78655488
frontend,1732915148,78659584
frontend,1732915188,78659584
frontend,1732915228,78557184
frontend,1732915268,78917632
frontend,1732915308,78917632
frontend,1732915348,79015936
frontend,1732915388,79392768
frontend,1732915428,79392768
frontend,1732915468,79220736
frontend,1732915508,79286272
frontend,1732915548,79286272
frontend,1732915588,79134720
frontend,1732915628,79802368
frontend,1732915668,79802368
frontend,1732915708,78794752
frontend,1732915748,86556672
frontend,1732915788,86556672
frontend,1732915828,87482368
frontend,1732915868,87867392
frontend,1732915908,87867392
frontend,1732915948,87990272
frontend,1732915988,86667264
frontend,1732916028,86667264
frontend,1732916068,86966272
frontend,1732916108,86683648
frontend,1732916148,86683648
frontend,1732916188,49274880
frontend,1732916228,49274880
frontend,1732916268,49274880
frontend,1732916308,49274880
frontend,1732916348,49274880
frontend,1732916388,49274880
frontend,1732916428,49274880
frontend,1732916468,49274880
productcatalogservice,1732919788,52584448
productcatalogservice,1732919828,54665216
productcatalogservice,1732919868,54665216
productcatalogservice,1732919908,55525376
productcatalogservice,1732919948,55566336
productcatalogservice,1732919988,55566336
productcatalogservice,1732920028,55767040
productcatalogservice,1732920068,55853056
productcatalogservice,1732920108,55853056
productcatalogservice,1732920148,55484416
productcatalogservice,1732920188,55083008
productcatalogservice,1732920228,55083008
productcatalogservice,1732920268,55812096
productcatalogservice,1732920308,55918592
productcatalogservice,1732920348,55918592
productcatalogservice,1732920388,55980032
productcatalogservice,1732920428,55885824
productcatalogservice,1732920468,55885824
productcatalogservice,1732920508,55730176
productcatalogservice,1732920548,58220544
productcatalogservice,1732920588,58220544
productcatalogservice,1732920628,58707968
productcatalogservice,1732920668,58638336
productcatalogservice,1732920708,58638336
productcatalogservice,1732920748,58437632
productcatalogservice,1732920788,58437632
productcatalogservice,1732920828,58437632
productcatalogservice,1732920868,58437632
productcatalogservice,1732920908,58437632
productcatalogservice,1732920948,58437632
productcatalogservice,1732920988,58437632
productcatalogservice,1732921028,58437632
frontend,1732914548,67715072
frontend,1732914588,67715072
frontend,1732914628,70881280
frontend,1732914668,73945088
frontend,1732914708,73945088
frontend,1732914748,76640256
frontend,1732914788,76922880
frontend,1732914828,76922880
frontend,1732914868,77262848
frontend,1732914908,77795328
frontend,1732914948,77795328
frontend,1732914988,77144064
frontend,1732915028,77475840
frontend,1732915068,77475840
frontend,1732915108,77647872
frontend,1732915148,77451264
frontend,1732915188,77451264
frontend,1732915228,78127104
frontend,1732915268,77733888
frontend,1732915308,77733888
frontend,1732915348,77864960
frontend,1732915388,77864960
frontend,1732915428,78303232
frontend,1732915468,78176256
frontend,1732915508,78319616
frontend,1732915548,78319616
frontend,1732915588,78262272
frontend,1732915628,78721024
frontend,1732915668,78721024
frontend,1732915708,78737408
frontend,1732915748,81649664
frontend,1732915788,81649664
frontend,1732915828,82468864
frontend,1732915868,82579456
frontend,1732915908,82579456
frontend,1732915948,81780736
frontend,1732915988,82079744
frontend,1732916028,82079744
frontend,1732916068,81715200
frontend,1732916108,81743872
frontend,1732916148,81743872
frontend,1732916188,48840704
frontend,1732916228,48840704
frontend,1732916268,48840704
frontend,1732916308,48840704
frontend,1732916348,48840704
frontend,1732916388,48840704
frontend,1732916428,48840704
frontend,1732916468,48840704
productcatalogservice,1732919428,0
productcatalogservice,1732919468,63471616
productcatalogservice,1732919508,63471616
productcatalogservice,1732919548,63361024
productcatalogservice,1732919588,63393792
productcatalogservice,1732919628,63393792
productcatalogservice,1732919668,63479808
productcatalogservice,1732919708,63754240
productcatalogservice,1732919748,63754240
productcatalogservice,1732919788,63664128
productcatalogservice,1732919828,63414272
productcatalogservice,1732919868,63414272
productcatalogservice,1732919908,63569920
productcatalogservice,1732919948,66445312
productcatalogservice,1732919988,66445312
productcatalogservice,1732920028,66703360
productcatalogservice,1732920068,66412544
productcatalogservice,1732920108,66412544
productcatalogservice,1732920148,66445312
productcatalogservice,1732920188,66740224
productcatalogservice,1732920228,66740224
productcatalogservice,1732920268,66854912
productcatalogservice,1732920308,67080192
productcatalogservice,1732920348,67080192
productcatalogservice,1732920388,67465216
productcatalogservice,1732920428,67153920
productcatalogservice,1732920468,67153920
productcatalogservice,1732920508,66985984
