source,destination,timestamp,reporter,value
checkoutservice,cartservice,1739226520,destination,10825
checkoutservice,currencyservice,1739226520,destination,10886
checkoutservice,emailservice,1739226520,destination,5327
checkoutservice,paymentservice,1739226520,destination,5354
checkoutservice,productcatalogservice,1739226520,destination,5709
checkoutservice,shippingservice,1739226520,destination,10709
frontend,adservice,1739226520,destination,50919
frontend,cartservice,1739226520,destination,123956
frontend,checkoutservice,1739226520,destination,6818
frontend,currencyservice,1739226520,destination,365914
frontend,productcatalogservice,1739226520,destination,526902
frontend,recommendationservice,1739226520,destination,73803
frontend,shippingservice,1739226520,destination,35894
recommendationservice,productcatalogservice,1739226520,destination,75664
unknown,frontend,1739226520,destination,154157
checkoutservice,cartservice,1739226580,destination,11114
checkoutservice,currencyservice,1739226580,destination,11192
checkoutservice,emailservice,1739226580,destination,5468
checkoutservice,paymentservice,1739226580,destination,5495
checkoutservice,productcatalogservice,1739226580,destination,5861
checkoutservice,shippingservice,1739226580,destination,10988
frontend,adservice,1739226580,destination,52326
frontend,cartservice,1739226580,destination,127308
frontend,checkoutservice,1739226580,destination,6959
frontend,currencyservice,1739226580,destination,375507
frontend,productcatalogservice,1739226580,destination,540551
frontend,recommendationservice,1739226580,destination,75858
frontend,shippingservice,1739226580,destination,36897
recommendationservice,productcatalogservice,1739226580,destination,77716
unknown,frontend,1739226580,destination,157633
checkoutservice,cartservice,1739226640,destination,11403
checkoutservice,currencyservice,1739226640,destination,11475
checkoutservice,emailservice,1739226640,destination,5610
checkoutservice,paymentservice,1739226640,destination,5639
checkoutservice,productcatalogservice,1739226640,destination,6021
checkoutservice,shippingservice,1739226640,destination,11276
frontend,adservice,1739226640,destination,53700
frontend,cartservice,1739226640,destination,130682
frontend,checkoutservice,1739226640,destination,7104
frontend,currencyservice,1739226640,destination,385214
frontend,productcatalogservice,1739226640,destination,554093
frontend,recommendationservice,1739226640,destination,77902
frontend,shippingservice,1739226640,destination,37880
recommendationservice,productcatalogservice,1739226640,destination,79744
unknown,frontend,1739226640,destination,161192
checkoutservice,cartservice,1739226700,destination,11683
checkoutservice,currencyservice,1739226700,destination,11780
checkoutservice,emailservice,1739226700,destination,5756
checkoutservice,paymentservice,1739226700,destination,5783
checkoutservice,productcatalogservice,1739226700,destination,6169
checkoutservice,shippingservice,1739226700,destination,11564
frontend,adservice,1739226700,destination,55090
frontend,cartservice,1739226700,destination,133972
frontend,checkoutservice,1739226700,destination,7248
frontend,currencyservice,1739226700,destination,395202
frontend,productcatalogservice,1739226700,destination,567560
frontend,recommendationservice,1739226700,destination,79918
frontend,shippingservice,1739226700,destination,38860
recommendationservice,productcatalogservice,1739226700,destination,81771
unknown,frontend,1739226700,destination,164639
checkoutservice,cartservice,1739226760,destination,11967
checkoutservice,currencyservice,1739226760,destination,12061
checkoutservice,emailservice,1739226760,destination,5896
checkoutservice,paymentservice,1739226760,destination,5922
checkoutservice,productcatalogservice,1739226760,destination,6314
checkoutservice,shippingservice,1739226760,destination,11842
frontend,adservice,1739226760,destination,56452
frontend,cartservice,1739226760,destination,137192
frontend,checkoutservice,1739226760,destination,7388
frontend,currencyservice,1739226760,destination,404573
frontend,productcatalogservice,1739226760,destination,580467
frontend,recommendationservice,1739226760,destination,81926
frontend,shippingservice,1739226760,destination,39794
recommendationservice,productcatalogservice,1739226760,destination,83718
unknown,frontend,1739226760,destination,168030
checkoutservice,cartservice,1739226820,destination,12231
checkoutservice,currencyservice,1739226820,destination,12352
checkoutservice,emailservice,1739226820,destination,6031
checkoutservice,paymentservice,1739226820,destination,6060
checkoutservice,productcatalogservice,1739226820,destination,6454
checkoutservice,shippingservice,1739226820,destination,12118
frontend,adservice,1739226820,destination,57712
frontend,cartservice,1739226820,destination,140147
frontend,checkoutservice,1739226820,destination,7524
frontend,currencyservice,1739226820,destination,413387
frontend,productcatalogservice,1739226820,destination,592790
frontend,recommendationservice,1739226820,destination,83823
frontend,shippingservice,1739226820,destination,40670
recommendationservice,productcatalogservice,1739226820,destination,85574
unknown,frontend,1739226820,destination,171124
checkoutservice,cartservice,1739226880,destination,12511
checkoutservice,currencyservice,1739226880,destination,12631
checkoutservice,emailservice,1739226880,destination,6167
checkoutservice,paymentservice,1739226880,destination,6197
checkoutservice,productcatalogservice,1739226880,destination,6600
checkoutservice,shippingservice,1739226880,destination,12395
frontend,adservice,1739226880,destination,59056
frontend,cartservice,1739226880,destination,143370
frontend,checkoutservice,1739226880,destination,7661
frontend,currencyservice,1739226880,destination,422533
frontend,productcatalogservice,1739226880,destination,605598
frontend,recommendationservice,1739226880,destination,85744
frontend,shippingservice,1739226880,destination,41600
recommendationservice,productcatalogservice,1739226880,destination,87496
unknown,frontend,1739226880,destination,174490
checkoutservice,cartservice,1739226940,destination,12801
checkoutservice,currencyservice,1739226940,destination,12912
checkoutservice,emailservice,1739226940,destination,6306
checkoutservice,paymentservice,1739226940,destination,6339
checkoutservice,productcatalogservice,1739226940,destination,6755
checkoutservice,shippingservice,1739226940,destination,12676
frontend,adservice,1739226940,destination,60352
frontend,cartservice,1739226940,destination,146526
frontend,checkoutservice,1739226940,destination,7801
frontend,currencyservice,1739226940,destination,431724
frontend,productcatalogservice,1739226940,destination,618586
frontend,recommendationservice,1739226940,destination,87647
frontend,shippingservice,1739226940,destination,42516
recommendationservice,productcatalogservice,1739226940,destination,89453
unknown,frontend,1739226940,destination,177776
checkoutservice,cartservice,1739227000,destination,13097
checkoutservice,currencyservice,1739227000,destination,13213
checkoutservice,emailservice,1739227000,destination,6454
checkoutservice,paymentservice,1739227000,destination,6486
checkoutservice,productcatalogservice,1739227000,destination,6907
checkoutservice,shippingservice,1739227000,destination,12970
frontend,adservice,1739227000,destination,61721
frontend,cartservice,1739227000,destination,149842
frontend,checkoutservice,1739227000,destination,7953
frontend,currencyservice,1739227000,destination,441262
frontend,productcatalogservice,1739227000,destination,632217
frontend,recommendationservice,1739227000,destination,89611
frontend,shippingservice,1739227000,destination,43496
recommendationservice,productcatalogservice,1739227000,destination,91509
unknown,frontend,1739227000,destination,181260
checkoutservice,cartservice,1739227060,destination,13339
checkoutservice,currencyservice,1739227060,destination,13505
checkoutservice,emailservice,1739227060,destination,6585
checkoutservice,paymentservice,1739227060,destination,6614
checkoutservice,productcatalogservice,1739227060,destination,7035
checkoutservice,shippingservice,1739227060,destination,13228
frontend,adservice,1739227060,destination,62915
frontend,cartservice,1739227060,destination,152526
frontend,checkoutservice,1739227060,destination,8076
frontend,currencyservice,1739227060,destination,450233
frontend,productcatalogservice,1739227060,destination,643137
frontend,recommendationservice,1739227060,destination,91686
frontend,shippingservice,1739227060,destination,44317
recommendationservice,productcatalogservice,1739227060,destination,93150
unknown,frontend,1739227060,destination,184142
checkoutservice,cartservice,1739227120,destination,13623
