Seed,Service,MAE,RMSE,MAPE
13,adservice,1151408,1167392,31.61
13,cartservice,1562651,2164714,36.79
13,checkoutservice,1415376,1427605,30.52
13,currencyservice,17911308,25359670,42.98
13,emailservice,207583,218799,32.48
13,frontend,39651880,39790436,77.81
13,paymentservice,184521,193443,28.91
13,productcatalogservice,21410954,36239468,40.49
13,recommendationservice,2173196,2205338,37.87
13,shippingservice,694876,808726,32.73
23,adservice,2229928,2248778,61.43
23,cartservice,2048018,2780568,49.58
23,checkoutservice,2746242,2759574,59.37
23,currencyservice,19971728,28087868,57.86
23,emailservice,305414,310436,48.57
23,frontend,45451836,45587596,89.24
23,paymentservice,347497,353349,55.21
23,productcatalogservice,22810076,38723848,40.68
23,recommendationservice,3398186,3431046,59.41
23,shippingservice,930933,1003787,47.50
42,adservice,1261869,1296317,34.43
42,cartservice,1649716,2333364,34.93
42,checkoutservice,2023151,2045632,43.57
42,currencyservice,18720440,26550614,42.30
42,emailservice,215673,221158,34.13
42,frontend,39497980,39639848,77.51
42,paymentservice,145811,150416,22.99
42,productcatalogservice,21834850,37381088,37.86
42,recommendationservice,2927371,2962445,51.10
42,shippingservice,595050,649615,30.24
1337,adservice,1073505,1099104,29.33
1337,cartservice,1864897,2649734,36.44
1337,checkoutservice,2041902,2060059,44.03
1337,currencyservice,20577688,28856708,64.02
1337,emailservice,241004,248847,38.02
1337,frontend,47801820,47932888,93.87
1337,paymentservice,258050,265421,40.75
1337,productcatalogservice,23760616,40376180,45.76
1337,recommendationservice,3040950,3079497,53.06
1337,shippingservice,610404,688275,29.98
69,adservice,1995286,2014229,54.92
69,cartservice,1406704,1913202,35.73
69,checkoutservice,2504789,2518324,54.12
69,currencyservice,20909114,29354192,62.55
69,emailservice,349327,352432,55.84
69,frontend,45341624,45477268,89.02
69,paymentservice,306258,313485,48.47
69,productcatalogservice,23852584,39630804,50.97
69,recommendationservice,3292411,3326571,57.53
69,shippingservice,462465,496493,23.94
