Seed,Service,MAE,RMSE,MAPE
13,adservice,1278761.5,1304204.3,35.54
13,cartservice,3094029.0,3186742.95,49.08
13,checkoutservice,2065309.38,2102599.05,44.73
13,currencyservice,19808620.0,20154546.04,41.58
13,emailservice,245455.14,253498.58,39.28
13,frontend,22684522.0,23063229.9,44.62
13,paymentservice,245357.72,253284.15,39.23
13,productcatalogservice,32374862.0,33007469.04,40.11
13,recommendationservice,2071889.38,2117044.28,36.53
13,shippingservice,1412625.88,1449545.74,36.59
23,adservice,1255856.38,1281190.0,34.9
23,cartservice,3158858.25,3254381.71,50.08
23,checkoutservice,2419322.75,2453011.08,52.48
23,currencyservice,20439370.0,20871424.32,42.87
23,emailservice,255559.44,265169.11,40.87
23,frontend,23016388.0,23506147.84,45.24
23,paymentservice,262001.55,271110.39,41.89
23,productcatalogservice,33967480.0,34852372.76,42.03
23,recommendationservice,2010318.5,2054326.61,35.45
23,shippingservice,1427856.5,1464240.29,37.0
42,adservice,1218180.5,1244596.65,33.83
42,cartservice,3040573.25,3139240.64,48.14
42,checkoutservice,2366965.25,2395269.41,51.37
42,currencyservice,18714964.0,19119032.02,39.23
42,emailservice,230861.42,238930.0,36.9
42,frontend,21777202.0,22197648.37,42.81
42,paymentservice,240745.47,248760.47,38.47
42,productcatalogservice,31898288.0,32619729.32,39.48
42,recommendationservice,2034434.12,2080160.16,35.85
42,shippingservice,1340696.38,1377079.99,34.7
2,adservice,1391003.88,1421190.96,38.65
2,cartservice,3021275.25,3110929.7,47.92
2,checkoutservice,2234380.5,2285673.17,48.34
2,currencyservice,21260666.0,21782465.61,44.55
2,emailservice,270491.06,280352.79,43.25
2,frontend,24340026.0,24882356.85,47.83
2,paymentservice,278801.41,288662.53,44.55
2,productcatalogservice,36030080.0,36932585.16,44.58
2,recommendationservice,2260226.5,2321707.01,39.8
2,shippingservice,1601775.5,1654148.0,41.42
69,adservice,1222198.38,1247794.95,33.96
69,cartservice,3030345.75,3131525.61,47.96
69,checkoutservice,1983264.75,2016019.94,42.97
69,currencyservice,18546592.0,18863967.8,38.93
69,emailservice,231596.5,238625.65,37.08
69,frontend,20603098.0,20973313.52,40.51
69,paymentservice,236839.03,243994.63,37.89
69,productcatalogservice,30510158.0,31176731.92,37.77
69,recommendationservice,1994860.5,2039095.78,35.16
69,shippingservice,1381708.88,1416554.2,35.79
