Seed,Service,MAE,RMSE,MAPE
13,adservice,1517875.35,1552950.66,42.27
13,cartservice,2533275.73,2635233.16,40.03
13,checkoutservice,2236393.83,2279077.57,48.46
13,currencyservice,21396933.12,21743069.5,45.0
13,emailservice,268587.03,277061.13,43.1
13,frontend,23993355.57,24381831.1,47.25
13,paymentservice,273083.96,280676.98,43.83
13,productcatalogservice,36307736.1,37010209.36,45.05
13,recommendationservice,2371545.49,2432634.26,41.89
13,shippingservice,1642565.96,1687383.48,42.66
23,adservice,1715563.01,1743837.4,47.84
23,cartservice,2583235.08,2695097.54,40.75
23,checkoutservice,2324562.72,2351212.71,50.49
23,currencyservice,22568708.3,22831017.99,47.54
23,emailservice,285215.49,292057.53,45.86
23,frontend,24886380.41,25154820.01,49.1
23,paymentservice,287909.02,294568.11,46.27
23,productcatalogservice,38669013.63,39192208.87,48.07
23,recommendationservice,2606589.98,2655108.21,46.11
23,shippingservice,1762252.87,1797953.6,45.83
42,adservice,1480631.94,1512630.75,41.21
42,cartservice,2835605.38,2943772.2,44.84
42,checkoutservice,2059179.09,2092393.49,44.66
42,currencyservice,20577654.98,20884557.26,43.28
42,emailservice,265332.73,273612.52,42.55
42,frontend,21953615.08,22255681.49,43.26
42,paymentservice,268758.32,276606.03,43.08
42,productcatalogservice,33826500.81,34480625.27,41.95
42,recommendationservice,2276970.27,2333619.37,40.18
42,shippingservice,1734744.53,1771577.91,45.09
2,adservice,1492473.08,1521569.56,41.62
2,cartservice,2728524.64,2844248.33,43.07
2,checkoutservice,2147441.47,2177780.14,46.6
2,currencyservice,21439736.24,21722376.47,45.13
2,emailservice,283536.23,290147.54,45.61
2,frontend,23060697.93,23331379.04,45.47
2,paymentservice,281940.82,288833.11,45.3
2,productcatalogservice,37075661.11,37629152.81,46.07
2,recommendationservice,2391715.34,2439692.29,42.31
2,shippingservice,1665665.83,1703574.24,43.31
69,adservice,1729948.26,1758054.66,48.25
69,cartservice,2802152.47,2898672.9,44.4
69,checkoutservice,2260677.13,2297608.05,49.02
69,currencyservice,22336839.87,22649389.27,47.0
69,emailservice,280168.14,288053.23,45.0
69,frontend,24534917.65,24870427.53,48.35
69,paymentservice,286146.83,293496.79,45.96
69,productcatalogservice,37210572.28,37869807.8,46.19
69,recommendationservice,2486328.99,2541814.79,43.96
69,shippingservice,1742578.3,1784463.16,45.29
