Service,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std
emailservice,246792.71,16770.41,255315.23,17848.64,39.48,2.67
paymentservice,252749.04,17436.89,261162.43,18478.55,40.41,2.78
adservice,1273200.13,70423.36,1299795.37,72203.58,35.38,1.96
shippingservice,1432932.63,100096.76,1472313.64,107034.87,37.1,2.57
recommendationservice,2074345.8,107898.12,2122466.77,115227.74,36.56,1.88
checkoutservice,2213848.53,187961.9,2250514.53,187124.06,47.98,4.11
cartservice,3069016.3,57621.26,3164564.12,57377.2,48.64,0.94
currencyservice,19754042.4,1148932.95,20158287.16,1214685.98,41.43,2.39
frontend,22484247.2,1396946.13,22924539.3,1459983.36,44.2,2.74
productcatalogservice,32956173.6,2116109.56,33717777.64,2224267.03,40.79,2.61
